client_id,age,sexe,compte_type,solde,nb_transactions_mois,montant_total_mois,transaction_suspecte,fidelite,produit_conso
100,32,M,Courant,6355.75,18,1822.24,0,9,Carte
101,62,F,Épargne,3691.85,18,1813.97,0,0,Placement
102,18,F,Courant,1338.73,21,1072.34,0,2,Carte
103,42,M,Premium,6022.41,24,3648.9,0,2,Placement
104,24,M,Courant,7747.32,22,3823.95,0,6,Placement
105,26,F,Épargne,4725.1,16,1151.86,0,6,Placement
106,41,M,Épargne,6905.75,16,1183.2,0,12,Placement
107,18,F,Épargne,8224.56,24,4044.3,0,14,Crédit
108,61,F,Épargne,7629.83,23,3276.2,0,11,Carte
109,25,F,Épargne,8279.93,19,1077.85,0,0,Assurance
110,41,F,Épargne,6484.25,13,1863.97,0,2,Placement
111,28,M,Courant,5150.87,28,2697.45,0,12,Placement
112,68,F,Courant,1796.07,17,1790.25,0,7,Assurance
113,34,M,Premium,4507.88,20,3309.19,0,8,Assurance
114,25,F,Épargne,3313.51,24,4119.37,1,6,Placement
115,52,M,Épargne,9341.89,20,2201.07,0,6,Assurance
116,52,F,Courant,4648.23,24,4609.75,0,11,Assurance
117,50,M,Courant,5246.41,25,2774.24,1,14,Crédit
118,22,M,Courant,6102.97,18,2983.96,0,10,Assurance
119,59,F,Épargne,5087.2,21,2574.21,0,7,Carte
120,56,F,Courant,8390.1,20,3692.6,0,5,Carte
121,58,F,Courant,3754.7,10,1861.64,0,10,Carte
122,45,F,Courant,5389.21,21,1325.36,0,2,Placement
123,24,M,Courant,3515.06,25,4761.85,0,14,Carte
124,26,F,Épargne,2359.95,16,2781.28,0,0,Crédit
125,25,M,Courant,3776.46,23,3880.02,0,6,Carte
126,29,M,Épargne,4925.93,21,1682.87,0,0,Placement
127,51,F,Courant,4141.4,15,2561.52,0,0,Crédit
128,50,M,Courant,3615.16,24,4260.48,0,8,Carte
129,65,M,Courant,2187.37,23,2147.57,0,12,Crédit
130,40,M,Courant,4833.79,24,4628.14,0,9,Crédit
131,41,M,Courant,1990.56,22,1264.54,0,6,Placement
132,54,F,Courant,6520.11,28,2029.62,0,12,Placement
133,52,F,Épargne,5164.88,11,1437.01,0,10,Crédit
134,61,F,Courant,2084.9,25,3409.22,0,12,Carte
135,57,F,Épargne,4381.58,24,3522.54,0,3,Placement
136,39,M,Épargne,3495.69,18,945.82,0,5,Crédit
137,44,M,Épargne,5638.35,31,6015.71,0,0,Assurance
138,52,F,Courant,7680.9,28,1587.27,0,6,Assurance
139,18,F,Courant,1249.66,21,1500.65,0,11,Placement
140,52,F,Courant,5230.05,17,885.74,0,14,Carte
141,54,M,Courant,4679.73,23,3105.66,0,5,Assurance
142,64,F,Premium,6342.68,23,4366.32,0,3,Assurance
143,31,F,Courant,5426.39,18,2698.06,0,6,Assurance
144,20,F,Courant,3496.06,19,3294.57,0,2,Carte
145,18,M,Épargne,4361.89,18,935.86,0,0,Carte
146,22,M,Épargne,3407.95,29,3807.77,0,3,Placement
147,43,M,Épargne,7152.01,18,2140.82,0,2,Placement
148,31,M,Courant,5042.62,11,1373.3,0,0,Assurance
149,56,M,Courant,8802.38,15,912.48,0,1,Carte
150,44,M,Épargne,4878.68,19,2900.64,0,10,Crédit
151,26,M,Courant,3583.19,16,2007.73,0,4,Assurance
152,32,M,Courant,1972.57,22,3624.99,0,14,Placement
153,32,F,Courant,1393.72,24,2947.05,0,7,Carte
154,43,F,Courant,1831.73,24,1737.77,0,0,Placement
155,59,M,Courant,5534.25,22,3239.25,0,3,Placement
156,30,M,Courant,6017.45,19,1441.3,0,13,Carte
157,68,F,Épargne,1837.62,17,3074.61,0,3,Assurance
158,49,M,Épargne,6790.08,17,2413.45,0,4,Carte
159,56,M,Épargne,4033.88,15,1103.71,0,6,Assurance
160,66,M,Courant,5293.59,19,3692.66,0,12,Placement
161,69,F,Courant,8224.44,14,1788.57,0,11,Carte
162,49,F,Courant,6793.68,20,1218.7,0,7,Crédit
163,21,F,Épargne,4462.94,20,2880.5,0,14,Assurance
164,47,F,Épargne,3217.62,21,1847.58,0,5,Crédit
165,54,F,Courant,696.37,15,2558.31,0,0,Assurance
166,40,M,Premium,3561.69,21,3626.14,0,6,Carte
167,56,F,Courant,4577.74,18,3543.16,0,2,Crédit
168,62,M,Épargne,3025.64,25,3132.01,0,14,Carte
169,32,M,Épargne,4737.49,19,2246.63,0,12,Assurance
170,60,F,Épargne,5153.7,24,3912.51,0,12,Assurance
171,46,F,Épargne,4550.29,21,1467.28,0,12,Assurance
172,53,M,Épargne,3699.99,16,2112.6,0,5,Assurance
173,30,M,Courant,5337.31,21,2770.68,0,14,Placement
174,49,M,Épargne,5883.88,20,1268.42,0,7,Assurance
175,24,F,Courant,2819.2,15,1690.46,0,6,Crédit
176,68,F,Épargne,7821.86,19,3381.86,0,9,Assurance
177,39,F,Épargne,4802.82,10,1784.23,1,5,Carte
178,45,F,Épargne,5037.7,23,1492.37,0,8,Placement
179,19,F,Courant,6416.43,16,1017.73,0,8,Crédit
180,59,M,Épargne,5466.43,16,1430.47,0,0,Placement
181,62,F,Épargne,6906.27,18,3261.87,0,0,Placement
182,23,M,Épargne,5574.25,25,1733.38,1,0,Placement
183,45,M,Courant,3775.13,18,2843.99,0,7,Carte
184,45,M,Courant,5723.01,24,1564.2,0,11,Placement
185,61,F,Courant,2712.55,16,2295.53,0,12,Placement
186,61,F,Courant,5217.12,19,1964.79,0,13,Assurance
187,37,F,Épargne,4933.54,25,4208.43,0,11,Carte
188,47,M,Courant,4583.77,18,1530.96,0,13,Crédit
189,28,M,Premium,4742.92,25,3647.01,0,9,Crédit
190,45,M,Courant,1236.3,19,1621.7,0,6,Crédit
191,42,M,Courant,3902.55,28,4397.37,0,2,Carte
192,56,M,Épargne,5185.69,28,5069.45,0,12,Crédit
193,50,M,Épargne,5319.71,20,1380.41,0,1,Carte
194,18,F,Courant,2944.65,20,3599.79,0,3,Assurance
195,44,F,Épargne,7531.42,15,2085.54,0,2,Assurance
196,69,F,Épargne,3267.65,23,1588.53,0,6,Carte
197,30,F,Courant,6938.91,19,2168.49,0,9,Crédit
198,58,M,Premium,5854.39,22,1630.84,0,14,Carte
199,20,M,Premium,3707.55,18,2790.94,0,14,Carte
200,56,F,Épargne,8550.62,19,3112.77,0,7,Placement
201,23,M,Courant,2612.73,25,1646.74,0,5,Carte
202,25,F,Épargne,6838.31,18,2266.58,0,2,Placement
203,44,F,Courant,7001.16,13,2238.52,0,5,Assurance
204,26,F,Courant,3658.76,19,3618.06,0,14,Placement
205,54,M,Courant,7784.93,22,2794.61,0,1,Carte
206,50,F,Courant,4499.91,19,3658.3,0,14,Assurance
207,68,F,Épargne,5577.39,15,1955.3,0,11,Placement
208,59,F,Épargne,5520.64,21,2291.7,0,6,Carte
209,61,M,Épargne,4731.38,20,3544.61,0,13,Assurance
210,41,M,Courant,6621.62,31,3842.37,0,10,Placement
211,32,F,Courant,6586.98,27,3261.21,0,9,Carte
212,49,M,Courant,1502.94,22,2718.03,0,13,Carte
213,49,M,Premium,7608.68,24,4248.43,0,6,Crédit
214,41,M,Courant,1675.02,22,3845.41,0,3,Crédit
215,58,M,Épargne,7065.09,23,2542.14,0,12,Placement
216,69,M,Épargne,7253.41,20,1999.9,0,7,Placement
217,66,M,Courant,2818.07,19,2351.99,0,3,Placement
218,66,M,Épargne,4178.37,27,3669.73,0,6,Carte
219,69,M,Courant,2788.59,25,2143.76,0,3,Placement
220,29,M,Épargne,4570.16,20,3381.87,0,12,Carte
221,56,M,Premium,4383.93,21,2582.42,0,11,Placement
222,19,F,Courant,6559.32,9,900.96,0,4,Carte
223,20,F,Courant,7620.62,32,2112.74,0,6,Carte
224,66,M,Épargne,7791.37,23,1974.02,0,12,Crédit
225,54,F,Premium,3875.66,22,4232.63,0,13,Assurance
226,66,F,Courant,4581.56,30,2872.95,0,13,Carte
227,34,M,Épargne,1633.12,24,1807.89,0,12,Placement
228,66,M,Épargne,3388.26,21,2501.12,0,9,Crédit
229,19,M,Épargne,6929.7,23,2209.45,0,2,Placement
230,19,F,Courant,8231.17,29,1602.94,0,9,Placement
231,45,F,Épargne,2531.3,22,2166.38,0,4,Carte
232,40,M,Premium,3815.07,17,2237.48,0,10,Carte
233,54,M,Courant,4947.19,19,2522.38,0,13,Assurance
234,49,M,Courant,5560.32,15,1552.26,0,2,Carte
235,50,F,Premium,3380.79,12,1405.14,0,4,Carte
236,18,F,Courant,5848.12,13,2532.76,0,13,Assurance
237,36,F,Épargne,4052.32,22,2345.25,0,2,Placement
238,19,F,Courant,4971.1,15,1331.01,0,10,Assurance
239,61,M,Courant,6092.57,35,3028.2,0,9,Assurance
240,43,M,Épargne,5012.84,28,3322.61,0,10,Assurance
241,49,M,Courant,4127.23,10,1639.28,0,6,Crédit
242,23,M,Épargne,4780.78,21,1698.86,0,12,Placement
243,49,F,Courant,4823.27,17,2658.71,0,0,Crédit
244,21,F,Épargne,4259.98,21,1116.62,0,8,Crédit
245,28,M,Courant,4482.41,17,1918.28,0,8,Carte
246,34,M,Courant,8197.29,17,2828.46,0,4,Assurance
247,55,F,Premium,6121.84,18,1814.58,0,8,Assurance
248,41,M,Courant,4409.04,10,1345.61,0,9,Crédit
249,22,F,Épargne,6393.91,16,1291.95,0,12,Carte
250,69,M,Courant,4332.36,13,2096.89,0,14,Carte
251,51,M,Épargne,7346.25,18,1041.15,0,5,Carte
252,23,M,Courant,5739.28,12,2134.58,0,14,Placement
253,39,M,Premium,4785.4,24,1913.51,0,4,Crédit
254,28,M,Courant,5895.43,20,3623.19,0,12,Placement
255,65,M,Courant,1858.25,18,1851.83,0,2,Carte
256,33,M,Courant,2746.47,20,3168.05,0,10,Carte
257,50,F,Courant,2612.15,21,2055.56,1,10,Carte
258,26,F,Épargne,5285.89,24,4461.28,0,7,Assurance
259,23,F,Courant,8465.03,14,965.94,0,3,Crédit
260,33,F,Épargne,9462.6,18,1382.0,0,9,Assurance
261,46,F,Courant,6276.1,22,2727.0,0,12,Placement
262,20,M,Courant,6001.69,23,1432.69,0,14,Assurance
263,37,M,Épargne,1397.88,22,1746.73,0,12,Crédit
264,53,F,Épargne,3914.65,17,3256.6,0,2,Assurance
265,36,M,Courant,3424.43,19,3733.0,0,12,Carte
266,43,F,Courant,3758.3,22,2341.66,0,5,Placement
267,20,F,Courant,4663.71,22,4146.84,0,7,Placement
268,36,M,Épargne,4055.82,19,2502.75,0,12,Carte
269,37,M,Épargne,1041.4,23,2080.61,0,14,Carte
270,49,M,Courant,6495.82,22,3417.92,0,8,Carte
271,24,F,Épargne,2854.51,22,3274.38,0,13,Crédit
272,69,M,Épargne,5478.49,26,5157.59,0,5,Assurance
273,58,F,Épargne,9148.17,20,1795.14,0,4,Placement
274,50,F,Épargne,3161.23,19,2865.37,0,11,Assurance
275,57,F,Courant,-60.58,18,1040.46,0,10,Carte
276,56,M,Courant,4427.99,25,1676.17,0,1,Carte
277,35,M,Courant,7201.92,28,1416.46,0,1,Assurance
278,57,F,Courant,8916.69,25,4997.98,0,8,Placement
279,18,M,Épargne,2540.9,24,4088.19,0,1,Crédit
280,28,M,Premium,5993.4,25,4200.21,0,1,Assurance
281,45,M,Courant,4069.38,17,2149.8,0,2,Carte
282,42,F,Courant,4788.1,24,2280.24,0,2,Carte
283,67,F,Courant,10288.69,26,1889.93,0,3,Crédit
284,40,M,Premium,1994.06,22,2039.43,0,6,Assurance
285,48,F,Courant,5507.48,18,1915.12,0,8,Crédit
286,47,M,Épargne,5935.39,21,3432.38,0,1,Crédit
287,59,M,Courant,7171.57,22,2880.88,0,3,Placement
288,52,M,Courant,5195.97,19,1170.83,0,8,Placement
289,24,M,Premium,5616.1,24,1264.9,0,13,Carte
290,33,F,Premium,4216.7,23,1503.05,0,1,Assurance
291,43,F,Courant,5538.25,22,2454.65,0,9,Placement
292,65,F,Premium,4313.62,16,3039.66,0,10,Carte
293,69,M,Épargne,6243.14,14,2038.55,0,12,Assurance
294,66,M,Épargne,4260.78,25,4256.85,0,0,Carte
295,19,M,Courant,5754.2,23,2758.99,0,9,Placement
296,18,F,Épargne,4941.47,20,2085.0,0,7,Carte
297,65,M,Courant,7252.1,18,1192.68,0,8,Assurance
298,29,F,Épargne,4897.21,17,3083.63,0,6,Assurance
299,22,F,Courant,1453.94,22,3684.43,0,7,Carte
300,54,F,Courant,7523.84,21,1579.57,0,3,Assurance
301,49,F,Courant,3188.54,17,2156.26,0,3,Carte
302,26,F,Épargne,3692.47,32,3939.4,0,12,Assurance
303,58,F,Courant,3808.68,26,3737.86,0,1,Carte
304,52,M,Épargne,7748.88,21,4030.49,0,7,Carte
305,36,M,Premium,728.65,12,1643.59,0,14,Carte
306,65,F,Courant,11275.5,21,2751.68,0,10,Crédit
307,33,F,Épargne,7112.11,28,1611.36,1,1,Assurance
308,20,M,Courant,5446.48,14,832.11,0,8,Placement
309,37,F,Épargne,4890.21,17,1327.73,0,13,Carte
310,41,F,Courant,5571.11,24,1316.89,0,3,Crédit
311,50,M,Épargne,6042.24,17,2745.55,0,0,Placement
312,41,F,Épargne,6290.43,17,2694.49,0,12,Carte
313,69,F,Premium,6111.21,22,1548.99,0,3,Placement
314,28,F,Épargne,5179.16,21,3683.65,0,2,Crédit
315,66,M,Courant,4605.32,23,1684.01,0,11,Placement
316,25,M,Épargne,4697.45,22,2093.88,0,5,Carte
317,53,M,Épargne,4610.18,18,1572.24,0,6,Placement
318,55,F,Épargne,7267.54,13,1376.0,0,7,Placement
319,57,F,Courant,6187.11,28,2469.59,0,1,Carte
320,37,M,Premium,-880.78,13,1603.45,0,5,Crédit
321,52,F,Épargne,6311.8,23,2555.56,0,14,Crédit
322,65,F,Épargne,5389.47,14,2771.8,0,5,Placement
323,42,F,Courant,4962.58,23,1342.95,0,9,Assurance
324,52,F,Épargne,4222.96,16,1141.24,0,11,Placement
325,42,F,Courant,7248.23,20,1158.48,0,4,Assurance
326,46,M,Épargne,6895.05,31,4460.16,0,9,Placement
327,35,F,Courant,3454.24,20,1163.53,0,9,Crédit
328,63,M,Épargne,5814.1,21,3684.79,0,6,Placement
329,35,F,Premium,3056.69,21,2662.61,0,2,Placement
330,19,M,Courant,2240.76,16,2064.82,0,3,Assurance
331,52,F,Premium,3746.57,17,2282.07,1,9,Crédit
332,33,M,Courant,6724.79,19,1436.82,0,12,Assurance
333,58,F,Épargne,6906.25,21,1672.72,0,8,Placement
334,53,M,Épargne,6026.17,18,1760.81,0,3,Carte
335,50,F,Épargne,6450.19,19,2641.46,0,2,Placement
336,21,M,Épargne,6032.36,22,1793.39,0,13,Placement
337,50,F,Épargne,3717.04,14,944.3,0,1,Assurance
338,31,M,Courant,5863.85,14,2737.25,0,4,Carte
339,38,M,Courant,6600.82,23,1225.84,0,3,Carte
340,65,F,Épargne,6508.58,20,3408.09,0,12,Assurance
341,37,F,Épargne,7377.83,22,3700.52,0,12,Crédit
342,25,M,Épargne,6416.61,19,1797.06,0,7,Carte
343,24,F,Épargne,5702.9,25,1758.6,0,6,Carte
344,20,M,Courant,7140.3,13,933.98,0,5,Assurance
345,34,M,Épargne,4946.96,21,3246.91,0,10,Crédit
346,50,M,Courant,3236.25,13,1903.47,0,11,Crédit
347,65,F,Épargne,4673.87,13,2176.35,0,1,Placement
348,29,M,Courant,3510.19,21,4003.07,0,2,Placement
349,68,M,Courant,3649.64,22,3383.36,0,9,Assurance
350,39,F,Courant,4710.96,23,1687.69,0,8,Crédit
351,39,F,Courant,3415.16,17,1470.78,0,12,Assurance
352,63,F,Épargne,4384.08,21,3702.91,0,8,Placement
353,47,F,Courant,1212.77,18,1465.13,0,14,Assurance
354,55,M,Courant,5426.59,19,1156.69,0,4,Assurance
355,55,M,Courant,5002.41,23,3576.32,0,13,Carte
356,62,M,Courant,3365.82,18,1986.82,0,2,Carte
357,68,M,Courant,6318.49,23,4324.14,0,1,Carte
358,25,F,Courant,6875.14,22,3245.84,0,7,Placement
359,44,M,Épargne,1784.88,24,1525.51,0,14,Assurance
360,44,M,Épargne,3474.55,19,3651.39,0,5,Carte
361,51,F,Épargne,3461.72,16,1420.54,0,9,Carte
362,38,M,Courant,3120.19,18,1810.47,0,10,Carte
363,47,M,Courant,6658.95,18,1986.1,0,11,Placement
364,50,M,Épargne,4612.35,15,865.25,0,6,Placement
365,45,M,Épargne,4470.97,18,2240.59,0,0,Assurance
366,64,M,Courant,992.28,14,958.97,0,0,Assurance
367,50,M,Courant,6270.84,19,2092.77,0,9,Assurance
368,22,F,Courant,2521.48,22,2257.34,0,1,Carte
369,65,F,Courant,5119.87,22,3650.37,0,9,Crédit
370,36,M,Courant,5554.75,15,2557.13,0,14,Placement
371,21,M,Épargne,7721.32,21,1533.25,0,2,Carte
372,52,F,Épargne,2382.36,19,1994.67,0,11,Carte
373,66,M,Épargne,-1039.02,14,1484.04,0,0,Assurance
374,34,M,Épargne,5367.7,15,1090.67,0,13,Assurance
375,61,M,Épargne,8601.02,16,2716.29,0,4,Carte
376,45,F,Épargne,7477.89,21,3277.77,0,14,Placement
377,47,M,Premium,5419.32,26,2042.49,0,14,Placement
378,46,F,Courant,4016.73,18,1890.15,0,2,Carte
379,63,M,Courant,6614.25,20,1317.42,0,0,Crédit
380,23,F,Courant,3052.91,21,3028.85,1,7,Crédit
381,52,F,Épargne,5952.72,19,1295.91,0,11,Placement
382,58,M,Épargne,6010.94,14,2770.46,0,10,Assurance
383,54,F,Courant,7120.42,19,3174.94,0,5,Crédit
384,41,M,Premium,10519.32,24,2604.86,0,8,Crédit
385,46,F,Courant,5784.83,25,3419.61,0,2,Assurance
386,66,M,Premium,3982.07,20,3734.03,0,8,Crédit
387,63,M,Courant,4948.85,34,4525.91,0,8,Carte
388,48,F,Courant,1461.85,23,1752.02,0,14,Crédit
389,52,M,Courant,3610.57,19,2029.3,0,11,Assurance
390,50,M,Courant,4181.44,22,3882.38,0,14,Carte
391,69,F,Courant,3951.82,13,1906.22,0,12,Crédit
392,38,M,Courant,5304.71,17,2509.35,0,11,Placement
393,49,M,Épargne,3355.16,19,3420.44,0,0,Carte
394,40,F,Épargne,7242.06,18,3313.73,0,2,Carte
395,50,F,Courant,5000.41,21,3947.35,0,5,Placement
396,20,M,Épargne,4981.4,18,1156.09,0,7,Placement
397,35,M,Épargne,4344.21,19,2500.76,0,3,Crédit
398,42,F,Courant,5310.38,21,3382.6,0,4,Crédit
399,59,F,Courant,6650.2,24,3924.94,0,8,Assurance
400,48,M,Courant,3265.74,25,3525.19,0,5,Assurance
401,20,F,Courant,3683.77,24,1800.43,0,11,Carte
402,57,M,Épargne,4392.55,19,3222.65,0,6,Placement
403,63,M,Courant,2308.26,20,3160.33,0,6,Placement
404,41,M,Épargne,3361.48,16,1006.73,0,3,Assurance
405,67,M,Épargne,4047.56,21,2511.0,0,3,Carte
406,49,M,Courant,6748.78,11,837.06,0,3,Carte
407,64,F,Épargne,5525.12,24,2414.92,0,13,Assurance
408,39,F,Courant,5387.18,16,843.39,0,14,Assurance
409,40,F,Premium,6701.8,12,1320.59,0,10,Assurance
410,19,F,Courant,4725.26,15,1987.22,0,4,Crédit
411,44,M,Épargne,5780.93,16,2287.0,0,4,Carte
412,59,M,Épargne,4793.56,10,1495.24,0,7,Carte
413,19,M,Courant,5530.72,20,3508.87,0,8,Carte
414,43,M,Épargne,3834.48,18,1481.75,0,1,Assurance
415,34,F,Premium,122.37,14,953.01,0,10,Assurance
416,57,M,Épargne,4731.44,11,1955.04,0,6,Assurance
417,50,M,Épargne,7845.5,21,1543.33,0,0,Assurance
418,26,F,Épargne,6852.43,26,5101.56,0,0,Placement
419,60,F,Courant,6930.79,31,5467.8,0,3,Assurance
420,65,F,Courant,7472.26,13,1626.71,0,9,Crédit
421,56,F,Épargne,5177.32,15,2958.2,0,6,Placement
422,46,M,Courant,5394.63,22,1421.34,0,1,Placement
423,59,M,Épargne,3764.7,29,2768.34,0,10,Assurance
424,43,F,Premium,4367.85,17,2477.47,0,1,Carte
425,52,M,Courant,6231.54,15,1537.52,0,0,Assurance
426,67,M,Courant,7407.77,14,2649.58,1,9,Carte
427,42,M,Épargne,4721.11,16,957.5,0,1,Assurance
428,41,F,Courant,4099.62,30,3972.35,0,12,Assurance
429,30,M,Épargne,5001.06,18,2495.34,0,14,Carte
430,24,F,Courant,6202.41,12,1774.91,0,6,Carte
431,53,M,Épargne,2112.29,22,1943.7,0,8,Carte
432,62,M,Courant,407.64,19,1989.01,0,5,Carte
433,37,M,Épargne,3898.93,19,3354.49,0,9,Crédit
434,18,F,Courant,2558.58,18,1426.35,0,1,Carte
435,25,M,Épargne,3983.72,21,3654.63,0,11,Assurance
436,63,F,Courant,4704.44,17,2284.77,0,14,Assurance
437,33,F,Épargne,4093.5,16,2629.25,0,9,Crédit
438,31,F,Épargne,7904.94,15,2355.62,0,14,Carte
439,29,M,Courant,5653.49,22,1784.79,0,9,Assurance
440,68,M,Courant,5600.95,20,2706.44,0,12,Crédit
441,40,M,Courant,6244.41,12,2161.9,0,8,Assurance
442,32,M,Épargne,2722.33,18,2066.71,0,6,Crédit
443,45,F,Épargne,7078.22,16,3119.82,0,10,Crédit
444,51,F,Épargne,4848.47,15,1767.48,0,0,Placement
445,19,F,Courant,6340.96,18,1285.52,0,11,Placement
446,49,M,Courant,2856.29,19,2059.89,0,8,Carte
447,40,F,Épargne,1892.48,26,5011.64,0,1,Placement
448,39,M,Courant,6635.78,23,2253.04,0,3,Crédit
449,68,F,Premium,5752.82,19,3424.08,0,8,Assurance
450,42,M,Courant,3195.9,19,3461.56,1,3,Assurance
